[29],1
[726],2
[630],3
[377],1
[888],1
[133],1
[562],2
[646],1
[157],2
[497],1
[56],2
[71],1
[214],2
[539],1
[527],1
[904],1
[349],2
[364],1
[272],4
[510],2
[629],2
[33],1
[340],2
[93],1
[736],1
[892],1
[585],35
[848],2
[557],2
[92],1
[681],2
[320],3
[584],1
[302],1
[603],1
[431],1
[331],1
[26],1
[729],5
[654],2
[201],2
[247],1
